,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-19,119.400002,120.089996,119.370003,119.779999,118.308083,25597300.0
1,2017-01-20,120.449997,120.449997,119.730003,120.0,118.525383,32597900.0
2,2017-01-23,120.0,120.809998,119.769997,120.080002,118.604401,22050200.0
3,2017-01-24,119.550003,120.099998,119.5,119.970001,118.495758,23211000.0
4,2017-01-25,120.419998,122.099998,120.279999,121.879997,120.382278,32377600.0
5,2017-01-26,121.669998,122.440002,121.599998,121.940002,120.441551,26337600.0
6,2017-01-27,122.139999,122.349998,121.599998,121.949997,120.451416,20562900.0
7,2017-01-30,120.93,121.629997,120.660004,121.629997,120.135345,30377500.0
8,2017-01-31,121.150002,121.389999,120.620003,121.349998,119.858795,49201000.0
9,2017-02-01,127.029999,130.490005,127.010002,128.75,127.167854,111985000.0
10,2017-02-02,127.980003,129.389999,127.779999,128.529999,126.950554,33710400.0
11,2017-02-03,128.309998,129.190002,128.160004,129.080002,127.493805,24507300.0
12,2017-02-06,129.130005,130.5,128.899994,130.28999299999998,128.68893400000002,26845900.0
13,2017-02-07,130.53999299999998,132.089996,130.449997,131.529999,129.913696,38183800.0
14,2017-02-08,131.350006,132.220001,131.220001,132.03999299999998,130.417435,23004100.0
15,2017-02-09,131.649994,132.449997,131.119995,132.419998,131.359818,28349900.0
16,2017-02-10,132.46000700000002,132.940002,132.050003,132.119995,131.062225,20065500.0
17,2017-02-13,133.080002,133.820007,132.75,133.28999299999998,132.222839,23035400.0
18,2017-02-14,133.470001,135.089996,133.25,135.020004,133.93901100000002,33226200.0
19,2017-02-15,135.520004,136.270004,134.619995,135.509995,134.425079,35623100.0
20,2017-02-16,135.669998,135.899994,134.839996,135.350006,134.266357,22584600.0
21,2017-02-17,135.100006,135.830002,135.100006,135.720001,134.633408,22198200.0
22,2017-02-21,136.229996,136.75,135.979996,136.699997,135.60556,24507200.0
23,2017-02-22,136.429993,137.119995,136.110001,137.110001,136.012268,20836900.0
24,2017-02-23,137.380005,137.479996,136.300003,136.529999,135.43692,20788200.0
25,2017-02-24,135.910004,136.660004,135.279999,136.660004,135.565887,21776600.0
26,2017-02-27,137.139999,137.440002,136.279999,136.929993,135.83371,20257400.0
27,2017-02-28,137.080002,137.440002,136.699997,136.990005,135.89325,23482900.0
28,2017-03-01,137.889999,140.149994,137.600006,139.78999299999998,138.670807,36414600.0
29,2017-03-02,140.0,140.279999,138.759995,138.96000700000002,137.847473,26211000.0
30,2017-03-03,138.779999,139.830002,138.589996,139.779999,138.660889,21108100.0
31,2017-03-06,139.369995,139.770004,138.600006,139.339996,138.224426,21750000.0
32,2017-03-07,139.059998,139.979996,138.78999299999998,139.520004,138.402985,17446300.0
33,2017-03-08,138.949997,139.800003,138.820007,139.0,137.887146,18707200.0
34,2017-03-09,138.740005,138.78999299999998,137.050003,138.679993,137.56968700000002,22155900.0
35,2017-03-10,139.25,139.360001,138.639999,139.139999,138.026016,19612800.0
36,2017-03-13,138.850006,139.429993,138.820007,139.199997,138.08554099999998,17421700.0
37,2017-03-14,139.300003,139.649994,138.839996,138.990005,137.877228,15309100.0
38,2017-03-15,139.410004,140.75,139.029999,140.46000700000002,139.335464,25691800.0
39,2017-03-16,140.720001,141.020004,140.259995,140.690002,139.563614,19232000.0
40,2017-03-17,141.0,141.0,139.889999,139.990005,138.869217,43885000.0
41,2017-03-20,140.399994,141.5,140.229996,141.46000700000005,140.32745400000002,21542000.0
42,2017-03-21,142.110001,142.800003,139.729996,139.839996,138.72041299999998,39529900.0
43,2017-03-22,139.850006,141.600006,139.759995,141.419998,140.287766,25860200.0
44,2017-03-23,141.259995,141.580002,140.610001,140.919998,139.79176299999997,20346300.0
45,2017-03-24,141.5,141.740005,140.350006,140.639999,139.51400800000002,22395600.0
