,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-09-04,95.108574,96.44857,94.928574,96.424286,87.12114,91973000.0
1,2012-09-05,96.510002,96.621429,95.657143,95.747147,86.509338,84093800.0
2,2012-09-06,96.167145,96.898575,95.828575,96.610001,87.288956,97799100.0
3,2012-09-07,96.864288,97.497147,96.538574,97.205711,87.82717099999998,82416600.0
4,2012-09-10,97.207146,97.612854,94.585716,94.677139,85.542564,121999500.0
5,2012-09-11,95.015717,95.728569,93.785713,94.370003,85.265068,125995800.0
6,2012-09-12,95.264282,95.699997,93.714287,95.684288,86.452538,178058300.0
7,2012-09-13,96.767143,97.928574,96.395714,97.568573,88.155037,149590000.0
8,2012-09-14,98.565712,99.568573,98.269997,98.754288,89.226341,150118500.0
9,2012-09-17,99.907143,99.971428,99.230003,99.968575,90.323479,99507800.0
10,2012-09-18,99.982857,100.332855,99.488571,100.272858,90.598404,93375800.0
11,2012-09-19,100.03714,100.57,99.938568,100.300003,90.622932,81718700.0
12,2012-09-20,99.879997,100.008568,99.08857,99.814285,90.18409,84142100.0
13,2012-09-21,100.344284,100.724289,99.908569,100.012856,90.363457,142897300.0
14,2012-09-24,98.122856,99.302856,97.571426,98.684288,89.163078,159941600.0
15,2012-09-25,98.322861,98.968575,96.14286,96.220001,86.936554,129697400.0
16,2012-09-26,95.534286,96.098572,94.457146,95.025711,85.857506,144125800.0
17,2012-09-27,94.898575,97.452858,94.335716,97.331429,87.94075,148522500.0
18,2012-09-28,96.964287,97.30143,95.25,95.300003,86.105347,133777700.0
19,2012-10-01,95.879997,96.678574,93.785713,94.19857,85.110161,135898700.0
20,2012-10-02,94.544289,95.192856,92.949997,94.472855,85.358002,156998100.0
21,2012-10-03,94.980003,95.980003,94.66143,95.921425,86.66681700000002,106070300.0
22,2012-10-04,95.89286,96.321426,95.078575,95.257141,86.066612,92681400.0
23,2012-10-05,95.028572,95.14286,93.040001,93.227142,84.23246,148501500.0
24,2012-10-08,92.41143,92.508568,90.872856,91.167145,82.371223,159498500.0
25,2012-10-09,91.235718,91.498573,89.078575,90.835716,82.071747,209649300.0
26,2012-10-10,91.391426,92.139999,91.0,91.558571,82.724876,127589000.0
27,2012-10-11,92.35714,92.457146,89.728569,89.728569,81.071426,136520300.0
28,2012-10-12,89.937141,90.76857,89.328575,89.958572,81.27924300000002,115003700.0
29,2012-10-15,90.335716,90.732857,89.121429,90.68,81.931084,108125500.0
